frame_idx,timestamp_unix_s,timestamp_iso_utc,realsense_frame_number,realsense_timestamp_ms,filename
124,1773245589.150631,2026-03-11T16:13:09.150631+00:00,200,1773245589095.434,rgb/frame_000124.jpg
125,1773245589.183661,2026-03-11T16:13:09.183661+00:00,201,1773245589129.553,rgb/frame_000125.jpg
126,1773245589.224148,2026-03-11T16:13:09.224148+00:00,202,1773245589163.599,rgb/frame_000126.jpg
127,1773245589.252630,2026-03-11T16:13:09.252630+00:00,203,1773245589197.577,rgb/frame_000127.jpg
128,1773245589.292304,2026-03-11T16:13:09.292304+00:00,204,1773245589231.493,rgb/frame_000128.jpg
129,1773245589.319967,2026-03-11T16:13:09.319967+00:00,205,1773245589265.407,rgb/frame_000129.jpg
130,1773245589.354490,2026-03-11T16:13:09.354490+00:00,206,1773245589299.321,rgb/frame_000130.jpg
131,1773245589.394041,2026-03-11T16:13:09.394041+00:00,207,1773245589333.234,rgb/frame_000131.jpg
132,1773245589.421366,2026-03-11T16:13:09.421366+00:00,208,1773245589367.146,rgb/frame_000132.jpg
133,1773245589.462341,2026-03-11T16:13:09.462341+00:00,209,1773245589401.057,rgb/frame_000133.jpg
134,1773245589.488589,2026-03-11T16:13:09.488589+00:00,210,1773245589434.967,rgb/frame_000134.jpg
135,1773245589.529706,2026-03-11T16:13:09.529706+00:00,211,1773245589468.877,rgb/frame_000135.jpg
136,1773245589.557955,2026-03-11T16:13:09.557955+00:00,212,1773245589502.787,rgb/frame_000136.jpg
137,1773245589.591600,2026-03-11T16:13:09.591600+00:00,213,1773245589536.695,rgb/frame_000137.jpg
138,1773245589.633989,2026-03-11T16:13:09.633989+00:00,214,1773245589570.602,rgb/frame_000138.jpg
139,1773245589.658952,2026-03-11T16:13:09.658952+00:00,215,1773245589604.509,rgb/frame_000139.jpg
140,1773245589.700600,2026-03-11T16:13:09.700600+00:00,216,1773245589638.415,rgb/frame_000140.jpg
141,1773245589.726821,2026-03-11T16:13:09.726821+00:00,217,1773245589672.320,rgb/frame_000141.jpg
142,1773245589.767275,2026-03-11T16:13:09.767275+00:00,218,1773245589706.224,rgb/frame_000142.jpg
143,1773245589.793771,2026-03-11T16:13:09.793771+00:00,219,1773245589739.579,rgb/frame_000143.jpg
144,1773245589.827826,2026-03-11T16:13:09.827826+00:00,220,1773245589772.935,rgb/frame_000144.jpg
145,1773245589.868293,2026-03-11T16:13:09.868293+00:00,221,1773245589806.288,rgb/frame_000145.jpg
146,1773245589.893808,2026-03-11T16:13:09.893808+00:00,222,1773245589839.641,rgb/frame_000146.jpg
147,1773245589.934069,2026-03-11T16:13:09.934069+00:00,223,1773245589872.993,rgb/frame_000147.jpg
148,1773245589.960396,2026-03-11T16:13:09.960396+00:00,224,1773245589906.345,rgb/frame_000148.jpg
149,1773245589.993629,2026-03-11T16:13:09.993629+00:00,225,1773245589939.696,rgb/frame_000149.jpg
150,1773245590.034650,2026-03-11T16:13:10.034650+00:00,226,1773245589973.046,rgb/frame_000150.jpg
151,1773245590.061236,2026-03-11T16:13:10.061236+00:00,227,1773245590006.395,rgb/frame_000151.jpg
152,1773245590.104706,2026-03-11T16:13:10.104706+00:00,228,1773245590039.743,rgb/frame_000152.jpg
153,1773245590.127814,2026-03-11T16:13:10.127814+00:00,229,1773245590073.091,rgb/frame_000153.jpg
154,1773245590.170860,2026-03-11T16:13:10.170860+00:00,230,1773245590106.438,rgb/frame_000154.jpg
155,1773245590.193497,2026-03-11T16:13:10.193497+00:00,231,1773245590139.784,rgb/frame_000155.jpg
156,1773245590.227273,2026-03-11T16:13:10.227273+00:00,232,1773245590173.130,rgb/frame_000156.jpg
157,1773245590.270448,2026-03-11T16:13:10.270448+00:00,233,1773245590206.495,rgb/frame_000157.jpg
158,1773245590.294215,2026-03-11T16:13:10.294215+00:00,234,1773245590239.912,rgb/frame_000158.jpg
159,1773245590.334181,2026-03-11T16:13:10.334181+00:00,235,1773245590273.284,rgb/frame_000159.jpg
160,1773245590.360594,2026-03-11T16:13:10.360594+00:00,236,1773245590306.656,rgb/frame_000160.jpg
161,1773245590.394742,2026-03-11T16:13:10.394742+00:00,237,1773245590340.027,rgb/frame_000161.jpg
162,1773245590.434079,2026-03-11T16:13:10.434079+00:00,238,1773245590373.397,rgb/frame_000162.jpg
163,1773245590.461499,2026-03-11T16:13:10.461499+00:00,239,1773245590406.767,rgb/frame_000163.jpg
164,1773245590.501839,2026-03-11T16:13:10.501839+00:00,240,1773245590440.137,rgb/frame_000164.jpg
165,1773245590.527552,2026-03-11T16:13:10.527552+00:00,241,1773245590473.507,rgb/frame_000165.jpg
166,1773245590.561835,2026-03-11T16:13:10.561835+00:00,242,1773245590506.876,rgb/frame_000166.jpg
167,1773245590.602041,2026-03-11T16:13:10.602041+00:00,243,1773245590540.244,rgb/frame_000167.jpg
168,1773245590.629108,2026-03-11T16:13:10.629108+00:00,244,1773245590573.612,rgb/frame_000168.jpg
169,1773245590.668331,2026-03-11T16:13:10.668331+00:00,245,1773245590606.979,rgb/frame_000169.jpg
170,1773245591.342460,2026-03-11T16:13:11.342460+00:00,260,1773245591107.431,rgb/frame_000170.jpg
171,1773245591.514953,2026-03-11T16:13:11.514953+00:00,269,1773245591407.919,rgb/frame_000171.jpg
172,1773245591.685079,2026-03-11T16:13:11.685079+00:00,271,1773245591474.739,rgb/frame_000172.jpg
173,1773245591.719215,2026-03-11T16:13:11.719215+00:00,276,1773245591641.741,rgb/frame_000173.jpg
174,1773245591.842331,2026-03-11T16:13:11.842331+00:00,279,1773245591741.824,rgb/frame_000174.jpg
175,1773245591.868206,2026-03-11T16:13:11.868206+00:00,280,1773245591775.184,rgb/frame_000175.jpg
176,1773245591.893589,2026-03-11T16:13:11.893589+00:00,281,1773245591808.543,rgb/frame_000176.jpg
177,1773245591.904981,2026-03-11T16:13:11.904981+00:00,282,1773245591841.902,rgb/frame_000177.jpg
178,1773245591.930068,2026-03-11T16:13:11.930068+00:00,283,1773245591875.262,rgb/frame_000178.jpg
179,1773245591.972943,2026-03-11T16:13:11.972943+00:00,284,1773245591908.620,rgb/frame_000179.jpg
180,1773245591.997506,2026-03-11T16:13:11.997506+00:00,285,1773245591941.978,rgb/frame_000180.jpg
181,1773245592.152740,2026-03-11T16:13:12.152740+00:00,286,1773245591975.335,rgb/frame_000181.jpg
